# Pins one photo to one configuration, for references the sheet lists more than once.
#
# brand-slug	reference	variant	filename
#
# "variant" must match the sheet's "Variant / Name" cell (folded to lowercase and
# hyphens, so punctuation and spacing don't matter). "filename" is a file already
# inside public/products/<brand>/<reference>/ — gen-image-manifest.mjs warns and
# skips the row if it isn't.
#
# A listing on a shared reference with no row here shows NO photo and drops to the
# enquiry list. That is deliberate: showing another variant's dial is worse.
#
# Every pin below was set by opening the image and matching it to the variant.

# GMT-Master II — the pairs differ only by bracelet. Note vtnr is ordered the
# opposite way round to blnr/grnr, so these are not derivable from file order.
rolex	126710BLNR	Batman – Jubilee	01-gmt-master-ii-batgirl-jubilee.webp
rolex	126710BLNR	Batgirl – Oyster	02-gmt-master-ii-batman-oyster.webp
rolex	126710BLRO	Pepsi – Jubilee	01-gmt-master-ii-pepsi-jubilee.webp
rolex	126710BLRO	Pepsi – Oyster	02-gmt-master-ii-pepsi-oyster.webp
rolex	126720VTNR	Sprite – Oyster	01-gmt-master-ii-sprite-oyster.webp
rolex	126720VTNR	Sprite – Jubilee	02-gmt-master-ii-sprite-jubilee.webp
rolex	126710GRNR	Bruce Wayne – Jubilee	01-gmt-master-ii-bruce-wayne-jubilee.webp
rolex	126710GRNR	Bruce Wayne – Oyster	02-gmt-master-ii-bruce-wayne-oyster.webp
rolex	126719BLRO	White Gold Pepsi – Meteorite Dial	01-gmt-master-ii-white-gold-pepsi-meteorite-dial.webp
rolex	126719BLRO	White Gold Pepsi – Blue Dial	02-gmt-master-ii-white-gold-pepsi-blue-dial.webp

# Daytona
rolex	126500LN	Panda	01-daytona-panda.webp
rolex	126500LN	Reverse Panda	02-daytona-reverse-panda.webp
rolex	126503	Steel & Gold – Black Dial	02-daytona-steel-gold-black-dial.webp
rolex	126505	Rose Gold – Black Dial	01-daytona-rose-gold-black-dial.webp
rolex	126506	Platinum – Blue Dial	01-daytona-platinum-blue-dial.webp
rolex	126506	Platinum – Baguette Blue Dial	02-daytona-platinum-baguette-blue-dial.webp
rolex	126509	White Gold – Reverse Panda	01-daytona-white-gold-panda.webp
rolex	126509	White Gold – Panda	03-daytona-white-gold-le-mans-100th-anniversary.webp
rolex	126508	Yellow Gold – White Dial	01-daytona-yellow-gold-john-mayer-2-0.webp

# Sky-Dweller
rolex	336933	Steel & Gold – Champagne	01-sky-dweller-steel-gold-black-dial.webp
rolex	336938	Yellow Gold – Black Dial	02-sky-dweller-yellow-gold-black-dial.webp

# Datejust 41
rolex	126334	Silver	02-datejust-41-wimbledon-jubilee-fluted.webp
rolex	126334	White	05-datejust-41-champagne.webp

# Photos present but matching NO listing we carry, and listings with no photo:
#   336933/2 champagne on Jubilee (dup dial)  ·  336933 "Black Dial" has no photo
#   336938/1 champagne  ·  336938 "Green Dial" has no photo
#   126334/3,/4 rhodium WITH diamond markers — our "Grey Rhodium" row implies plain,
#     and rows that do carry stones say so ("MOP Diamond"), so left unpinned
#   126503/1  white dial      — our only pale listing is "Champagne Dial"; not the same colour
#   126505/2  black + diamond dots  ·  126505/3 sundust w/ baton (listing wants baguette)
#   126508/2  black racing    ·  126508/3 black + diamond dots
#   126509/2  black + diamond ·  126509/4 blue dial
# Unmatched listings: 126505 Chocolate, Sundust Baguette · 126508 John Mayer, Pikachu
#   · 126509 Le Mans 100th, Tahitian · 126503 Champagne

# ── Added 22 Aug 2026 ──────────────────────────────────────────────────────────
# Every pin below was set from rolex.com's own page for the configuration code in the trailing
# comment (the code is what data/image-sources/rolex.tsv fetches), matched on Rolex's dial and
# bracelet wording. 57 Jewellers — where this render set was first taken from — labels many of the
# same codes differently (their 'Mint Green' 126300 is Rolex's white dial; their 'White Dial' 228235
# is a black one), so their catalogue was NOT used as a source for these.
#
# Sheet rows still without a photo because Rolex publishes no such configuration in this set:
